steel grade;weight;forbidden;mandatory;cost0;cost1;cost2;cost3;cost4;cost5;cost6;flows
LK30;23558;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;SG3,SDG,TTS,HDG,
K570;11224;0;0;0.00209176;0.00240998;0.00330309;0.00722707;0.0160717;0.0296055;0.0479972;ZWART,
K210;38919;0;0;0.00165867;0.00140803;0.00125336;0.00129525;0.00214354;0.00521529;0.0135676;CAPL,TTS,
KM50;20642;0;0;0.00265631;0.00233967;0.00198813;0.00196477;0.00227747;0.00404042;0.00923905;GEBEITST,
KM50;20642;0;0;0.00414042;0.00371934;0.00301968;0.00241314;0.0020148;0.00196477;0.00217226;GEBEITST,
KT70;144989;0;0;0.00321322;0.00283292;0.00227048;0.0019711;0.00196477;0.00240998;0.00450773;CAPL,TTS,
LT70;11926;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;SG3,SDG,BT2,HDG,
LT70;20704;0;0;0.00808204;0.00764204;0.00687204;0.00610204;0.00533308;0.00456995;0.00196477;SG3,SDG,BT2,HDG,
LT70;11399;0;0;0.00808204;0.00764204;0.00687204;0.00610204;0.00533308;0.00456995;0.00196477;SG3,SDG,TTS,HDG,
KM30;25700;0;0;0.00351372;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;0.00330309;ZWART,
KN40;50367;0;0;0.00244632;0.00207246;0.00152333;0.00125336;0.00125406;0.00175477;0.00396752;GALTEC,SDG,BT2,HDG,
K370;9037;0;0;0.00161271;0.00214354;0.00348114;0.00903016;0.0221784;0.0399881;0.0620299;GALTEC,SDG,BT2,HDG,
K370;15101;0;0;0.00321322;0.00283292;0.00227048;0.0019711;0.00196477;0.00240998;0.00450773;SG2,SDG,BT2,HDG,
K370;70105;0;0;0.00192906;0.00270741;0.00454663;0.011855;0.0269928;0.0457948;0.0692164;GALTEC,SDG,BT2,HDG,
K370;50810;0;0;0.00152333;0.00131912;0.00125336;0.00141274;0.00270741;0.00685566;0.0176129;GALTEC,SDG,BT2,HDG,
K370;51751;0;0;0.00131912;0.00125336;0.00126695;0.00192906;0.00454663;0.011855;0.0269928;GALTEC,SDG,BT2,HDG,
K370;25376;0;0;0.00129525;0.00149828;0.00214354;0.00521529;0.0135676;0.0294557;0.0488444;GALTEC,SDG,BT2,HDG,
K370;11904;0;0;0.00125406;0.00134575;0.00175477;0.00396752;0.0103575;0.024556;0.0428424;GALTEC,SDG,BT2,HDG,
KT70;41284;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;GEBEITST,
K570;20642;0;0;0.00240998;0.00301436;0.00450773;0.0104179;0.0212855;0.0368895;0.057376;GEBEITST,
K570;12390;0;0;0.00240998;0.00301436;0.00450773;0.0104179;0.0212855;0.0368895;0.057376;GEBEITST,
LK40;30963;0;0;0.00305336;0.00264317;0.00198446;0.00146236;0.00125336;0.00126695;0.00192906;GEBEITST,
KM50;25803;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;GEBEITST,
KM50;95112;1;0;0.003616;0.00321322;0.00257191;0.00209667;0.00196477;0.00203321;0.00301436;GEBEITST,
KM50;22285;0;0;0.00639731;0.00923905;0.0145202;0.0273767;0.0450707;0.0676541;0.0951337;GEBEITST,
KM50;51606;0;0;0.00198813;0.00196477;0.00203321;0.00301436;0.00639731;0.0145202;0.0273767;GEBEITST,
KM50;51606;0;0;0.003616;0.00321322;0.00257191;0.00209667;0.00196477;0.00203321;0.00301436;GEBEITST,
K320;11043;0;0;0.00305336;0.00264317;0.00198446;0.00146236;0.00125336;0.00126695;0.00192906;GEBEITST,
K580;79949;0;0;0.00240998;0.00301436;0.00450773;0.0104179;0.0212855;0.0368895;0.057376;GEBEITST,
K370;17480;0;0;0.00131912;0.00125336;0.00126695;0.00192906;0.00454663;0.011855;0.0269928;GALTEC,SDG,BT2,HDG,
KM40;18934;0;0;0.0104179;0.0145202;0.0212855;0.0368895;0.057376;0.082757;0.113036;GEBEITST,
K820;49541;0;0;0.00198813;0.00196477;0.00203321;0.00301436;0.00639731;0.0145202;0.0273767;GEBEITST,
K820;49541;0;0;0.00249087;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;0.0116869;GEBEITST,
K210;8624;0;0;0.00207246;0.00173547;0.00131912;0.00125336;0.00141274;0.00270741;0.00685566;SG2,SDG,BT2,HDG,
K570;18826;0;0;0.00240998;0.00301436;0.00450773;0.0104179;0.0212855;0.0368895;0.057376;GEBEITST,
KM20;20642;0;0;0.0039284;0.00351372;0.00283292;0.00227048;0.0019711;0.00196477;0.00240998;GEBEITST,
L740;3143;0;0;0.00414042;0.00371934;0.00301968;0.00241314;0.0020148;0.00196477;0.00217226;CAPL,BT2,
K450;49659;0;0;0.0019711;0.00196477;0.00209176;0.00330309;0.00722707;0.0160717;0.0296055;SG2,SDG,BT2,HDG,
K450;24829;0;0;0.00198813;0.00196477;0.00203321;0.00301436;0.00639731;0.0145202;0.0273767;SG2,SDG,BT2,HDG,
KN40;20387;0;0;0.00125406;0.00134575;0.00175477;0.00396752;0.0103575;0.024556;0.0428424;GALTEC,SDG,BT2,HDG,
KM50;67087;0;0;0.00196477;0.00203321;0.00240998;0.00450773;0.0104179;0.0212855;0.0368895;GEBEITST,
LK60;20642;0;0;0.00198813;0.00196477;0.00203321;0.00301436;0.00639731;0.0145202;0.0273767;GEBEITST,
KM40;25803;0;0;0.00214847;0.00198813;0.00196477;0.00227747;0.00404042;0.00923905;0.0194514;GEBEITST,
KM50;61927;0;0;0.00196477;0.00203321;0.00240998;0.00450773;0.0104179;0.0212855;0.0368895;GEBEITST,
K210;101815;0;0;0.00189863;0.00158981;0.00126485;0.00125336;0.00161271;0.00348114;0.00903016;SG2,SDG,BT2,HDG,
K320;15482;0;0;0.00227048;0.00205171;0.00196477;0.00209176;0.00330309;0.00722707;0.0160717;GEBEITST,
K820;23739;0;0;0.00301968;0.00265631;0.00214847;0.00196477;0.00199442;0.00277186;0.00567697;GEBEITST,
K820;25803;0;0;0.00227048;0.00205171;0.00196477;0.00209176;0.00330309;0.00722707;0.0160717;GEBEITST,
K570;41774;0;0;0.00198446;0.00165867;0.00128646;0.00125336;0.00149828;0.00306541;0.00787307;GEBEITST,
KM50;20642;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;GEBEITST,
K140;18358;0;0;0.00567697;0.00817559;0.0130556;0.0252471;0.0422437;0.0641281;0.0909081;GEBEITST,
KM40;23739;0;0;0.00240998;0.00301436;0.00450773;0.0104179;0.0212855;0.0368895;0.057376;GEBEITST,
KM50;25803;0;0;0.00220669;0.0020148;0.00196477;0.00217226;0.00364156;0.00817559;0.0177148;GEBEITST,
KM50;51606;0;0;0.00249087;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;0.0116869;GEBEITST,
K340;24913;0;0;0.00351372;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;0.00330309;GALTEC,SDG,TTS,HDG,
KM30;43349;0;0;0.00209176;0.00240998;0.00330309;0.00722707;0.0160717;0.0296055;0.0479972;GEBEITST,
K380;33299;0;0;0.00257305;0.00330309;0.0050491;0.0116869;0.023217;0.0395169;0.0607021;GEBEITST,
T230;69011;0;0;0.00817559;0.0116869;0.0177148;0.031934;0.0510236;0.0750055;0.103885;GALTEC,SDG,BT2,HDG,
KB30;25803;0;0;0.0050491;0.00722707;0.0116869;0.023217;0.0395169;0.0607021;0.0867826;GEBEITST,
K200;99550;0;0;0.00227048;0.00205171;0.00196477;0.00209176;0.00330309;0.00722707;0.0160717;GEBEITST,
K200;211562;0;0;0.00292537;0.00257191;0.00209667;0.00196477;0.00203321;0.00301436;0.00639731;GEBEITST,
K200;211562;0;0;0.003616;0.00321322;0.00257191;0.00209667;0.00196477;0.00203321;0.00301436;GEBEITST,
KM50;25803;0;0;0.00209667;0.0019711;0.00196477;0.00240998;0.00450773;0.0104179;0.0212855;GEBEITST,
T210;24070;0;0;0.00207246;0.00173547;0.00131912;0.00125336;0.00141274;0.00270741;0.00685566;FULL HARD,BT2,
KM40;25803;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;GEBEITST,
KM50;25803;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;GEBEITST,
KT30;20911;0;0;0.00382354;0.00341243;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;CAPL,BT2,
T230;24253;0;0;0.00198813;0.00196477;0.00203321;0.00301436;0.00639731;0.0145202;0.0273767;SG2,SDG,BT2,HDG,
K820;77408;0;0;0.0019711;0.00196477;0.00209176;0.00330309;0.00722707;0.0160717;0.0296055;GEBEITST,
K370;11910;0;0;0.00209176;0.00240998;0.00330309;0.00722707;0.0160717;0.0296055;0.0479972;GALTEC,SDG,BT2,HDG,
K210;92829;0;0;0.00240998;0.00301436;0.00450773;0.0104179;0.0212855;0.0368895;0.057376;CAPL,TTS,
K210;111063;0;0;0.00351372;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;0.00330309;CAPL,TTS,
KM50;20642;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;GEBEITST,
KM50;20642;0;0;0.00240998;0.00301436;0.00450773;0.0104179;0.0212855;0.0368895;0.057376;GEBEITST,
KM50;20642;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;GEBEITST,
KM50;13524;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;GEBEITST,
K370;86802;0;0;0.00131912;0.00125336;0.00126695;0.00192906;0.00454663;0.011855;0.0269928;SG2,SDG,BT2,HDG,
K370;102780;0;0;0.00125336;0.00125406;0.00141274;0.00270741;0.00685566;0.0176129;0.0345568;SG2,SDG,BT2,HDG,
KM60;24771;0;0;0.00371934;0.0033121;0.00265631;0.00214847;0.00196477;0.00199442;0.00277186;GEBEITST,
LT70;23880;0;0;0.00241314;0.00214847;0.00196477;0.00199442;0.00277186;0.00567697;0.0130556;SG3,SDG,TTS,HDG,
KN50;26858;0;0;0.00220669;0.0020148;0.00196477;0.00217226;0.00364156;0.00817559;0.0177148;GALTEC,SDG,TTS,HDG,
K370;5696;0;0;0.00403409;0.003616;0.00292537;0.00233967;0.00198813;0.00196477;0.00227747;GALTEC,SDG,BT2,HDG,
KM30;87983;0;0;0.0116869;0.0160717;0.023217;0.0395169;0.0607021;0.0867826;0.117761;ZWART,
KM30;25676;0;0;0.0116869;0.0160717;0.023217;0.0395169;0.0607021;0.0867826;0.117761;ZWART,
KM30;154200;0;0;0.00301436;0.00404042;0.00639731;0.0145202;0.0273767;0.0450707;0.0676541;ZWART,
KM30;154200;0;0;0.00199442;0.00217226;0.00277186;0.00567697;0.0130556;0.0252471;0.0422437;ZWART,
KM30;154200;0;0;0.00249087;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;0.0116869;ZWART,
K370;99951;0;0;0.00249087;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;0.0116869;SG2,SDG,BT2,HDG,
K370;49926;0;0;0.00351372;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;0.00330309;SG2,SDG,BT2,HDG,
K370;146460;0;0;0.00351372;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;0.00330309;SG2,SDG,BT2,HDG,
T220;12218;0;0;0.0296055;0.0368895;0.0479972;0.0712798;0.0994592;0.132538;0.170516;FULL HARD,TTS,
KN10;11397;0;0;0.0273767;0.0343621;0.0450707;0.0676541;0.0951337;0.127512;0.16479;FULL HARD,BT2,
K370;20767;0;0;0.003616;0.00321322;0.00257191;0.00209667;0.00196477;0.00203321;0.00301436;SG2,SDG,BT2,HDG,
K370;24865;0;0;0.00341243;0.00301968;0.00241314;0.0020148;0.00196477;0.00217226;0.00364156;SG2,SDG,BT2,HDG,
K370;50026;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;SG2,SDG,BT2,HDG,
KM80;27989;0;0;0.00199442;0.00217226;0.00277186;0.00567697;0.0130556;0.0252471;0.0422437;GEBEITST,
K200;30963;0;0;0.00414042;0.00371934;0.00301968;0.00241314;0.0020148;0.00196477;0.00217226;GEBEITST,
K450;81352;0;0;0.00257191;0.00227048;0.0019711;0.00196477;0.00240998;0.00450773;0.0104179;SG2,SDG,BT2,HDG,
KB30;25642;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;SG2,SDG,BT2,HDG,
KB30;25642;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;SG2,SDG,BT2,HDG,
KB30;25642;0;0;0.00588204;0.00544262;0.00467823;0.0039284;0.00321322;0.00257191;0.00196477;SG2,SDG,BT2,HDG,
K370;75038;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;SG2,SDG,BT2,HDG,
K370;24988;0;0;0.00209667;0.0019711;0.00196477;0.00240998;0.00450773;0.0104179;0.0212855;SG2,SDG,BT2,HDG,
K370;24963;0;0;0.00209667;0.0019711;0.00196477;0.00240998;0.00450773;0.0104179;0.0212855;SG2,SDG,BT2,HDG,
K370;13518;0;0;0.00209667;0.0019711;0.00196477;0.00240998;0.00450773;0.0104179;0.0212855;SG2,SDG,BT2,HDG,
K370;14490;0;0;0.00205171;0.00196477;0.00197231;0.00257305;0.0050491;0.0116869;0.023217;SG2,SDG,BT2,HDG,
K370;93060;0;0;0.00249087;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;0.0116869;SG2,SDG,BT2,HDG,
K370;49829;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;SG2,SDG,BT2,HDG,
K370;8643;0;0;0.00351372;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;0.00330309;SG2,SDG,BT2,HDG,
T230;24688;0;0;0.00198813;0.00196477;0.00203321;0.00301436;0.00639731;0.0145202;0.0273767;SG2,SDG,BT2,HDG,
T230;24688;0;0;0.00274359;0.00241314;0.0020148;0.00196477;0.00217226;0.00364156;0.00817559;SG2,SDG,BT2,HDG,
T230;25716;0;0;0.0033121;0.00292537;0.00233967;0.00198813;0.00196477;0.00227747;0.00404042;SG2,SDG,BT2,HDG,
T230;25716;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;SG2,SDG,BT2,HDG,
T230;25716;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;SG2,SDG,BT2,HDG,
T230;25716;0;0;0.00621204;0.00577204;0.00500497;0.00424721;0.00351372;0.00283292;0.00196477;SG2,SDG,BT2,HDG,
K370;24865;0;0;0.00249087;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;0.0116869;SG2,SDG,BT2,HDG,
K370;24865;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;SG2,SDG,BT2,HDG,
K370;56359;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;SG2,SDG,BT2,HDG,
K370;49879;0;0;0.00341243;0.00301968;0.00241314;0.0020148;0.00196477;0.00217226;0.00364156;SG2,SDG,BT2,HDG,
K370;24939;0;0;0.00351372;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;0.00330309;SG2,SDG,BT2,HDG,
K370;19038;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;SG2,SDG,BT2,HDG,
K370;49829;0;0;0.0033121;0.00292537;0.00233967;0.00198813;0.00196477;0.00227747;0.00404042;SG2,SDG,BT2,HDG,
KN70;26939;0;0;0.0019711;0.00196477;0.00209176;0.00330309;0.00722707;0.0160717;0.0296055;GALTEC,SDG,TTS,HDG,
K370;298607;0;0;0.00257305;0.00330309;0.0050491;0.0116869;0.023217;0.0395169;0.0607021;SG2,SDG,BT2,HDG,
K370;298607;0;0;0.00214847;0.00198813;0.00196477;0.00227747;0.00404042;0.00923905;0.0194514;SG2,SDG,BT2,HDG,
K370;198565;0;0;0.00198813;0.00196477;0.00203321;0.00301436;0.00639731;0.0145202;0.0273767;SG2,SDG,BT2,HDG,
K370;199268;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;SG2,SDG,BT2,HDG,
KM50;25803;0;0;0.00196477;0.00203321;0.00240998;0.00450773;0.0104179;0.0212855;0.0368895;GEBEITST,
K130;13973;0;0;0.00214847;0.00198813;0.00196477;0.00227747;0.00404042;0.00923905;0.0194514;BAF_HNX,BAF,TTS,ELG,
LK50;12604;0;0;0.00240998;0.00301436;0.00450773;0.0104179;0.0212855;0.0368895;0.057376;GALTEC,SDG,TTS,HDG,
TB60;25018;0;0;0.00371934;0.0033121;0.00265631;0.00214847;0.00196477;0.00199442;0.00277186;CAPL,BT2,
KT50;20642;0;0;0.0039284;0.00351372;0.00283292;0.00227048;0.0019711;0.00196477;0.00240998;GEBEITST,
KT50;20642;0;0;0.00414042;0.00371934;0.00301968;0.00241314;0.0020148;0.00196477;0.00217226;GEBEITST,
KT10;22706;0;0;0.00257191;0.00227048;0.0019711;0.00196477;0.00240998;0.00450773;0.0104179;BAF_H2,BAF,BT2,
KT50;20642;0;0;0.00414042;0.00371934;0.00301968;0.00241314;0.0020148;0.00196477;0.00217226;GEBEITST,
KT10;46445;0;0;0.00311568;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;BAF_H2,BAF,BT2,
T230;17838;0;0;0.0194514;0.0252471;0.0343621;0.0541498;0.0788313;0.10841;0.142889;SG3,SDG,TTS,HDG,
T230;82987;0;0;0.00203321;0.00227747;0.00301436;0.00639731;0.0145202;0.0273767;0.0450707;SG3,SDG,TTS,HDG,
T230;9333;0;0;0.00249087;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;0.0116869;GALTEC,SDG,BT2,HDG,
KM40;18806;0;0;0.00197231;0.00209176;0.00257305;0.0050491;0.0116869;0.023217;0.0395169;GEBEITST,
K340;10433;0;0;0.0488444;0.0585848;0.0729584;0.101949;0.135835;0.174621;0.218306;SG2,SDG,BT2,HDG,
K340;40062;0;0;0.00158981;0.00135924;0.00125336;0.00134575;0.00240134;0.00597483;0.0155024;SG2,SDG,BT2,HDG,
K370;111421;0;0;0.0039284;0.00351372;0.00283292;0.00227048;0.0019711;0.00196477;0.00240998;GALTEC,SDG,TTS,HDG,
KM30;31995;0;0;0.00205171;0.00196477;0.00197231;0.00257305;0.0050491;0.0116869;0.023217;GEBEITST,
TB50;29142;0;0;0.023217;0.0296055;0.0395169;0.0607021;0.0867826;0.117761;0.153639;FULL HARD,TTS,
L620;23460;0;0;0.00175477;0.00240134;0.00396752;0.0103575;0.024556;0.0428424;0.0655725;GALTEC,SDG,TTS,HDG,
K570;36358;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;ZWART,
TB50;22936;0;0;0.0212855;0.0273767;0.0368895;0.057376;0.082757;0.113036;0.148214;FULL HARD,BT2,
K320;89781;0;0;0.00764204;0.00720204;0.00643204;0.00566213;0.00489585;0.00414042;0.00196477;GEBEITST,
K320;105267;0;0;0.00808204;0.00764204;0.00687204;0.00610204;0.00533308;0.00456995;0.00196477;GEBEITST,
KM40;51400;0;0;0.0039284;0.00351372;0.00283292;0.00227048;0.0019711;0.00196477;0.00240998;ZWART,
LT70;8812;0;0;0.00330309;0.00450773;0.00722707;0.0160717;0.0296055;0.0479972;0.0712798;SG3,SDG,BT2,HDG,
LT70;25145;0;0;0.00214847;0.00198813;0.00196477;0.00227747;0.00404042;0.00923905;0.0194514;SG3,SDG,BT2,HDG,
K390;17787;0;0;0.0130556;0.0177148;0.0252471;0.0422437;0.0641281;0.0909081;0.122587;BAF_HNX,BAF,TTS,
K370;20947;0;0;0.00196477;0.00203321;0.00240998;0.00450773;0.0104179;0.0212855;0.0368895;GALTEC,SDG,BT2,HDG,
K820;25803;0;0;0.003616;0.00321322;0.00257191;0.00209667;0.00196477;0.00203321;0.00301436;GEBEITST,
K210;90364;0;0;0.00198813;0.00196477;0.00203321;0.00301436;0.00639731;0.0145202;0.0273767;CAPL,TTS,
K210;111063;0;0;0.00371934;0.0033121;0.00265631;0.00214847;0.00196477;0.00199442;0.00277186;CAPL,TTS,
K350;51400;0;0;0.0039284;0.00351372;0.00283292;0.00227048;0.0019711;0.00196477;0.00240998;ZWART,
KT20;4272;0;0;0.00220669;0.0020148;0.00196477;0.00217226;0.00364156;0.00817559;0.0177148;GEBEITST,
KM30;41284;0;0;0.00189863;0.00158981;0.00126485;0.00125336;0.00161271;0.00348114;0.00903016;GEBEITST,
T260;6524;0;0;0.0372283;0.0457948;0.0585848;0.0847841;0.115872;0.151858;0.192743;BAF_HNX,BAF,TTS,
LK70;29632;0;0;0.00207246;0.00173547;0.00131912;0.00125336;0.00141274;0.00270741;0.00685566;SG3,SDG,TTS,HDG,
LK60;9009;0;0;0.00301436;0.00404042;0.00639731;0.0145202;0.0273767;0.0450707;0.0676541;GEBEITST,
K820;53641;0;0;0.00209667;0.0019711;0.00196477;0.00240998;0.00450773;0.0104179;0.0212855;GEBEITST,
K320;46851;0;0;0.0019711;0.00196477;0.00209176;0.00330309;0.00722707;0.0160717;0.0296055;GALTEC,SDG,BT2,HDG,
